NLQ,PRED SQL,GOLD SQL,OUTPUT PRED,OUTPUT GOLD
what is the number of government health insurance patients who had radical cystectomy?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.INSURANCE  =  'Government Health Insurance' AND T2.LONG_TITLE  =  'RADICAL CYSTECTOMY',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""INSURANCE"" = ""Government"" AND PROCEDURES.""LONG_TITLE"" = ""Radical cystectomy""","[(0,)]","[(0,)]"
give the number of patients whose admission year is less than 2182 and who have also had the c4 lab test done.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMITYEAR  <  2182 AND T2.ITEMID  =  'c4',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""ADMITYEAR"" < ""2182"" AND LAB.""LABEL"" = ""C4""","[(0,)]","[(1,)]"
what is the number of patients less than 43 years who have transplant self medication program?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.AGE  <  43 AND T2.LABEL  =  'transplant self medication program',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""43"" AND PRESCRIPTIONS.""DRUG"" = ""Transplant Self Medication Program""","[(0,)]","[(0,)]"
let me know the number of patients less than 51 years who have complete heart block primary disease.,"SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.AGE  <  51 AND T2.ICD9_CODE  =  ""complete heart block""","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""DIAGNOSIS"" = ""COMPLETE HEART BLOCK"" AND DEMOGRAPHIC.""AGE"" < ""51""","[(0,)]","[(0,)]"
how many patients born before the year 2123 had lab test named immunoglobulin a?,SELECT count(DISTINCT T2.LABEL) FROM Demographic AS T1 JOIN lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.LABEL  =  'immunoglobulin a' AND T1.DOB_YEAR  <  2123,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""DOB_YEAR"" < ""2123"" AND LAB.""LABEL"" = ""Immunoglobulin A""","[(0,)]","[(2,)]"
how many patients are admitted in clinic referral/premature and lab tested with lab item id 50976?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_TYPE  =  'clinic referral/premature' AND T2.ITEMID  =  50976,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""CLINIC REFERRAL/PREMATURE"" AND LAB.""ITEMID"" = ""50976""","[(0,)]","[(2,)]"
What number of patients with their lab test name as amylase were discharged at home health care?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_TYPE  =  'home health care' AND T2.ITEMID  =  'amylase',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""DISCHARGE_LOCATION"" = ""HOME HEALTH CARE"" AND LAB.""LABEL"" = ""Amylase""","[(0,)]","[(10,)]"
How many patients with brain mass intracranial hemorrhage as their primary disease had delta an abnormal lab test status?,SELECT count(DISTINCT T2.flag) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.FLAG  =  'abnormal' AND T1.DIAGNOSIS  =  'Brain mass intracranial hemorrhage',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""DIAGNOSIS"" = ""BRAIN MASS;INTRACRANIAL HEMORRHAGE"" AND LAB.""FLAG"" = ""delta""","[(0,)]","[(0,)]"
Which patients were ordered  a wbc lab test?,SELECT T1.SUBJECT_ID FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ITEMID  =  'wbc',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE LAB.""LABEL"" = ""WBC""",[],"[(49,)]"
how many patients admission location is transferred within this facility with the birth year before 2089?,SELECT count(*) FROM Demographic WHERE ADMISSION_LOCATION  =  'TRANSFER FROM HOSPITAL WITHIN FACILITY' AND DOB_YEAR  <  2089,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""TRSF WITHIN THIS FACILITY"" AND DEMOGRAPHIC.""DOB_YEAR"" < ""2089""","[(0,)]","[(1,)]"
