NLQ,PRED SQL,GOLD SQL,OUTPUT PRED,OUTPUT GOLD
how many black/ african american patients have done the lab test protein/creatinine ratio?,SELECT count(DISTINCT T2.itemid) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ITEMID  =  'protein/creatinine ratio' AND T1.ETHNICITY  =  'black/african american',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""ETHNICITY"" = ""BLACK/AFRICAN AMERICAN"" AND LAB.""LABEL"" = ""Protein/Creatinine Ratio""","[(0,)]","[(0,)]"
Provide the number of white ethnic background patients for whom a total protein body fluid lab test has been ordered.,SELECT count(DISTINCT T2.itemid) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ITEMID  =  'total protein body fluid' AND T1.ETHNICITY  =  'white',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""ETHNICITY"" = ""WHITE"" AND LAB.""LABEL"" = ""Total Protein, Body Fluid""","[(0,)]","[(0,)]"
how many patients with death status 1 had primary disease as aortic valve insuffiency\aortic valve replacement /sda?,SELECT count(DISTINCT T1.HADM_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.EXPIRE_FLAG  =  1 AND T2.ICD9_CODE  =  'aortic valve insuffiency\aortic valve replacement /sda',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""1"" AND DEMOGRAPHIC.""DIAGNOSIS"" = ""AORTIC VALVE INSUFFIENCY\AORTIC VALVE REPLACEMENT /SDA""","[(0,)]","[(0,)]"
Give the number of patients that died and had a primary disease of colangitis.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.DOD  IS NOT NULL AND T2.ICD9_CODE  =  'colangitis',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""1"" AND DEMOGRAPHIC.""DIAGNOSIS"" = ""COLANGITIS""","[(0,)]","[(1,)]"
calculate the total number of patients who have died and had femoral artery thrombosis as primary disease.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.DOD  IS NOT NULL AND T2.ICD9_CODE  =  '416.0',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""1"" AND DEMOGRAPHIC.""DIAGNOSIS"" = ""FEMORAL ARTERY THROMBOSIS""","[(0,)]","[(0,)]"
What is the number of patients whose death status is 1 and hospital stay is more than 26 days?,SELECT count(*) FROM Demographic WHERE EXPIRE_FLAG  =  1 AND DAYS_STAY  >  26,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""1"" AND DEMOGRAPHIC.""DAYS_STAY"" > ""26""","[(3,)]","[(3,)]"
How many of the patients born before 2085 have died?,SELECT count(*) FROM Demographic WHERE DOB_YEAR  <  2085 AND DOD_YEAR  IS NOT NULL,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""1"" AND DEMOGRAPHIC.""DOB_YEAR"" < ""2085""","[(16,)]","[(16,)]"
How many of the patients born before 2090 have confirmed death status?,SELECT count(*) FROM Demographic WHERE DOB_YEAR  <  2090 AND EXPIRE_FLAG  =  1,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""1"" AND DEMOGRAPHIC.""DOB_YEAR"" < ""2090""","[(17,)]","[(17,)]"
get the number of dead patients who were born before 2097.,SELECT count(*) FROM Demographic WHERE DOD  <  DOB AND DOB_YEAR  <  2097,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""1"" AND DEMOGRAPHIC.""DOB_YEAR"" < ""2097""","[(0,)]","[(18,)]"
How many of the patients with icd9 code 78052 have an unspecified death status?,SELECT count(DISTINCT T1.HADM_ID) FROM Demographic AS T1 WHERE T1.DOD  =  'unspecified' AND T1.HADM_ID IN (SELECT DISTINCT T2.HADM_ID FROM Diagnoses AS T2 WHERE T2.ICD9_CODE  =  78052),"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""0"" AND DIAGNOSES.""ICD9_CODE"" = ""78052""","[(0,)]","[(1,)]"
count the number of patients who are alive and have diagnosis icd9 code v4986.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.EXPIRE_FLAG  =  0 AND T2.ICD9_CODE  =  'v4986',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""0"" AND DIAGNOSES.""ICD9_CODE"" = ""V4986""","[(0,)]","[(1,)]"
What is total number of patients who were diagnosed with icd9 code 53550 and died?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.DOD  IS NOT NULL AND T2.ICD9_CODE  =  53550,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""1"" AND DIAGNOSES.""ICD9_CODE"" = ""53550""","[(0,)]","[(0,)]"
Provide the number of patients that survived and have a diagnosis icd9 code of 99662.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.DOD  IS NOT NULL AND T2.ICD9_CODE  =  99662,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""0"" AND DIAGNOSES.""ICD9_CODE"" = ""99662""","[(0,)]","[(1,)]"
Give the number of patients whose diagnoses title is alcoh dep nec/nos-unspec and died.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.DOD  IS NOT NULL AND T2.SHORT_TITLE  =  'alcoh dep nec/nos-unspec',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""1"" AND DIAGNOSES.""SHORT_TITLE"" = ""Alcoh dep NEC/NOS-unspec""","[(0,)]","[(0,)]"
how many dead patients had diagnoses of methicillin susceptible pneumonia due to staphylococcus aureus?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.DOD  IS NOT NULL AND T2.ICD9_CODE  =  '00000' AND T2.SHORT_TITLE  =  'methicillin susceptible pneumonia' AND T2.LONG_TITLE  =  'staphylococcus aureus',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""1"" AND DIAGNOSES.""SHORT_TITLE"" = ""Meth sus pneum d/t Staph""","[(0,)]","[(0,)]"
how many dead patients were diagnosed with esophageal reflux?,SELECT count(DISTINCT T2.ICD9_CODE) FROM Demographic AS T1 JOIN diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.DOD  IS NOT NULL AND T2.ICD9_CODE  =  'esophageal reflux',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""1"" AND DIAGNOSES.""SHORT_TITLE"" = ""Esophageal reflux""","[(0,)]","[(3,)]"
what number of patients diagnosed with other persistent mental disorders due to conditions classified elsewhere had death staus as 1?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.EXPIRE_FLAG  =  1 AND T2.ICD9_CODE  =  '299.9',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""1"" AND DIAGNOSES.""LONG_TITLE"" = ""Other persistent mental disorders due to conditions classified elsewhere""","[(0,)]","[(0,)]"
"give the number of patients whose death status is 1 and diagnosis long title is contusion of face, scalp, and neck except eye(s).","SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.DOD  =  1 AND T2.LONG_TITLE  =  'contusion of face, scalp, and neck except eye(s)'","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""1"" AND DIAGNOSES.""LONG_TITLE"" = ""Contusion of face, scalp, and neck except eye(s)""","[(0,)]","[(0,)]"
Find the number of patients who were diagnosed with tobacco use disorder and survived,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.DOD IS NOT NULL AND T2.ICD9_CODE  =  '296.4',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""0"" AND DIAGNOSES.""LONG_TITLE"" = ""Tobacco use disorder""","[(0,)]","[(5,)]"
how many living patients have procedure icd9 code 540?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ICD9_CODE  =  540,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""0"" AND PROCEDURES.""ICD9_CODE"" = ""540""","[(1,)]","[(1,)]"
how many of the patients with icd9 code 4513 have unspecified death status,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 WHERE T1.EXPIRE_FLAG  =  'unspecified' AND T1.SUBJECT_ID IN (SELECT DISTINCT T2.SUBJECT_ID FROM Demographic AS T2 WHERE T2.SUBJECT_ID IN (SELECT DISTINCT T3.SUBJECT_ID FROM Diagnoses AS T3 WHERE T3.ICD9_CODE  =  4513)),"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""0"" AND PROCEDURES.""ICD9_CODE"" = ""4513""","[(0,)]","[(0,)]"
how many patients that survived were procedured with icd9 code 3152?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.DOD IS NOT NULL AND T2.ICD9_CODE  =  3152,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""0"" AND PROCEDURES.""ICD9_CODE"" = ""3512""","[(0,)]","[(1,)]"
Find the number of patients who had procedure titled fiber-optic bronchoscopy and have their status as 0.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.EXPIRE_FLAG  =  0 AND T2.LONG_TITLE  =  'fiber-optic bronchoscopy',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""0"" AND PROCEDURES.""LONG_TITLE"" = ""Fiber-optic bronchoscopy""","[(0,)]","[(2,)]"
Provide the number of patients that died with a drug named baclofen.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Prescriptions AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.DOD  IS NOT NULL AND T2.DRUG  =  'baclofen',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""1"" AND PRESCRIPTIONS.""DRUG"" = ""Baclofen""","[(0,)]","[(1,)]"
how many dead patients had ondansetron odt medication prescription?,SELECT count(DISTINCT T1.DOD) FROM Demographic AS T1 JOIN Prescriptions AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.DRUG  =  'ondansetron odt',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""1"" AND PRESCRIPTIONS.""DRUG"" = ""Ondansetron ODT""","[(0,)]","[(1,)]"
report the number of patients who had hemoglobin lab test and are still alive.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM lab AS T1 JOIN demographic AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ITEMID  =  'hemoglobin' AND T2.DOD IS NULL ,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""0"" AND LAB.""LABEL"" = ""Hemoglobin""","[(0,)]","[(71,)]"
Provide the number of patients who were ordered to get a vancomycin lab test and are still alive.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Lab AS T1 JOIN Demographic AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ITEMID  =  'vancomycin' AND T2.EXPIRE_FLAG  =  0,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""0"" AND LAB.""LABEL"" = ""Vancomycin""","[(0,)]","[(8,)]"
"get the number of dead patients who had total protein, body fluid lab test.",SELECT count(DISTINCT T2.itemid) FROM demographic AS T1 JOIN lab AS T2 ON T1.hadm_id  =  T2.hadm_id WHERE T2.itemid  =  'total protein' OR T2.itemid  =  'body fluid' AND T1.dod  IS NOT NULL,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""1"" AND LAB.""LABEL"" = ""Total Protein, Body Fluid""","[(0,)]","[(0,)]"
count the number of inpatient hospital admitted patients who were discharged to skilled nursing facility.,SELECT count(*) FROM Demographic WHERE DISCHARGE_LOCATION  =  'skilled nursing facility',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""TRSF WITHIN THIS FACILITY"" AND DEMOGRAPHIC.""DISCHARGE_LOCATION"" = ""SNF""","[(0,)]","[(0,)]"
Provide the number of emergency room admitted patients with primary disease left internal jugular vein thrombosis left arm edema.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.SUBJECT_ID  =  T2.SUBJECT_ID JOIN Lab AS T3 ON T2.ICD9_CODE  =  T3.ITEMID WHERE T3.LABEL  =  'left' AND T3.LABEL  =  'arm' AND T3.LABEL  =  'edema' AND T3.LABEL  =  'left' AND T3.LABEL  =  'internal' AND T3.LABEL  =  'jugular' AND T3.LABEL  =  'vein' AND T3.LABEL  =  'thrombosis',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""EMERGENCY ROOM ADMIT"" AND DEMOGRAPHIC.""DIAGNOSIS"" = ""LEFT INTERNAL JUGULAR VEIN THROMBOSIS;LEFT ARM EDEMA""","[(0,)]","[(1,)]"
how many patients have their admission location as clinic referral/premature and ventricular tachycardia as their primary disease?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_LOCATION  =  'clinic referral/premature' AND T2.ICD9_CODE  =  'ventricular tachycardia',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""CLINIC REFERRAL/PREMATURE"" AND DEMOGRAPHIC.""DIAGNOSIS"" = ""VENTRICULAR TACHYCARDIA""","[(0,)]","[(0,)]"
"find how many patients had admission location as clinic referral/premature and primary disease as sigmoid diverticulitis, colovestical fistula/sda.",SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.SUBJECT_ID  =  T2.SUBJECT_ID WHERE T1.ADMISSION_LOCATION  =  'clinic referral/premature' AND (T2.LONG_TITLE  =  'sigmoid diverticulitis' OR T2.LONG_TITLE  =  'colovestical fistula/sda'),"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""CLINIC REFERRAL/PREMATURE"" AND DEMOGRAPHIC.""DIAGNOSIS"" = ""SIGMOID DIVERTICULITIS, COLOVESTICAL FISTULA/SDA""","[(0,)]","[(0,)]"
Count the number of inpatient hospital admission patients who have neoplasm of uncertain behavior of other lymphatic and hematopoietic tissues/bone marrow transplant as their primary disease.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ICD9_CODE  =  'neoplasm of uncertain behavior of other lymphatic and hematopoietic tissues/bone marrow transplant',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""TRANSFER FROM HOSP/EXTRAM"" AND DEMOGRAPHIC.""DIAGNOSIS"" = ""NEOPLASM OF UNCERTAIN BEHAVIOR OF OTHER LYMPHATIC AND HEMATOPOIETIC TISSUES\BONE MARROW TRANSPLANT""","[(0,)]","[(0,)]"
how many patients with admission location as phys referral/normal deli were diagnosed for copd excerbation.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_LOCATION  =  'phys referral/normal deli' AND T2.ICD9_CODE  =  'COPD',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""PHYS REFERRAL/NORMAL DELI"" AND DEMOGRAPHIC.""DIAGNOSIS"" = ""COPD EXACERBATION""","[(0,)]","[(0,)]"
How many patients admitted in transfer within this facility are primarily diagnosed for copd exacerbation?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_TYPE  =  'TRANSFER' AND T2.ICD9_CODE  =  'COPD',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""TRSF WITHIN THIS FACILITY"" AND DEMOGRAPHIC.""DIAGNOSIS"" = ""COPD EXACERBATION""","[(0,)]","[(0,)]"
How many of the clinic referral/premature patients were born before the year 2120?,SELECT count(*) FROM Demographic WHERE DOB_YEAR  <  2120,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""CLINIC REFERRAL/PREMATURE"" AND DEMOGRAPHIC.""DOB_YEAR"" < ""2120""","[(69,)]","[(16,)]"
what is the number of office admission patients who were born before 2121?,SELECT count(*) FROM Demographic WHERE ADMISSION_TYPE  =  'office' AND DOB_YEAR  <  2121,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""CLINIC REFERRAL/PREMATURE"" AND DEMOGRAPHIC.""DOB_YEAR"" < ""2121""","[(0,)]","[(16,)]"
how many patients admission location is transferred within this facility with the birth year before 2089?,SELECT count(*) FROM Demographic WHERE ADMISSION_LOCATION  =  'TRANSFER FROM HOSPITAL WITHIN FACILITY' AND DOB_YEAR  <  2089,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""TRSF WITHIN THIS FACILITY"" AND DEMOGRAPHIC.""DOB_YEAR"" < ""2089""","[(0,)]","[(1,)]"
count the number of inpatient hospital admission patients born before 2092.,SELECT count(*) FROM Demographic WHERE DOB_YEAR  <  2092,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""TRSF WITHIN THIS FACILITY"" AND DEMOGRAPHIC.""DOB_YEAR"" < ""2092""","[(48,)]","[(1,)]"
report the number of clinic referred patients who were admitted prematurely before 2121.,SELECT count(*) FROM Demographic WHERE ADMISSION_TYPE  =  'clinic referred' AND ADMITTIME  <  2121,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""CLINIC REFERRAL/PREMATURE"" AND DEMOGRAPHIC.""ADMITYEAR"" < ""2121""","[(0,)]","[(4,)]"
how many patients are admitted in location under phys referral/normal deli and diagnosed with icd9 code e9530?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_LOCATION  =  'under phys referral/normal deli' AND T1.ADMISSION_TYPE  =  'Normal Delivery' AND T2.ICD9_CODE  =  'e9530',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""PHYS REFERRAL/NORMAL DELI"" AND DIAGNOSES.""ICD9_CODE"" = ""E9530""","[(0,)]","[(0,)]"
how many patients are in admission location clinic referral/premature and with diagnosis icd9 code 431?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_LOCATION  =  'clinic referral/premature' AND T2.ICD9_CODE  =  431,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""CLINIC REFERRAL/PREMATURE"" AND DIAGNOSES.""ICD9_CODE"" = ""431""","[(0,)]","[(1,)]"
how many patients had admission location as clinic referral/premature and diagnoses icd9 code as 25541?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_LOCATION  =  'clinic referral/premature' AND T2.ICD9_CODE  =  '25541',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""CLINIC REFERRAL/PREMATURE"" AND DIAGNOSES.""ICD9_CODE"" = ""25541""","[(0,)]","[(0,)]"
